trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.06, 'e': 0.47520927168614524}",30,0,-48.161371801690905,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
125,False,"{'a': 0.06, 'e': 0.4723665527410155}",35,13,-45.00897943007803,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
126,False,"{'a': 0.06, 'e': 0.4695408390428001}",30,11,-38.677779189786776,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 0}",1
127,False,"{'a': 0.06, 'e': 0.4667320288655007}",20,6,-8.913757556560267,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.06, 'e': 0.4639400210916475}",25,7,-34.219922875915,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
129,False,"{'a': 0.06, 'e': 0.4611647152086593}",30,0,-84.91526826776368,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
130,False,"{'a': 0.06, 'e': 0.4584060113052244}",30,8,-29.820685786520414,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 0}",1
131,False,"{'a': 0.06, 'e': 0.4556638100677044}",25,5,-1.595091275211562,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
132,False,"{'a': 0.06, 'e': 0.45293801277655854}",30,11,-15.006767867069772,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
133,False,"{'a': 0.06, 'e': 0.4502285213027901}",20,7,-4.591338774262636,"{0: 9, 1: 4, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.06, 'e': 0.44753523810441326}",25,0,-28.73510996030184,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
135,False,"{'a': 0.06, 'e': 0.444858066222942}",30,18,-21.493279753296616,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
136,False,"{'a': 0.06, 'e': 0.4421969092798995}",25,3,-73.52945866856028,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 0}",1
137,False,"{'a': 0.06, 'e': 0.43955167147334845}",20,0,-35.8024359786884,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
138,False,"{'a': 0.06, 'e': 0.4369222575744421}",25,12,24.719448979373826,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.06, 'e': 0.434308572923996}",30,0,-45.8406689841487,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",1
140,False,"{'a': 0.06, 'e': 0.43171052342908056}",20,10,-29.514720402650468,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
141,False,"{'a': 0.06, 'e': 0.42912801555963337}",30,22,18.564048855843925,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.06, 'e': 0.4265609563450923}",20,12,3.620566274708538,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.06, 'e': 0.42400925337104817}",20,8,-4.609587997264951,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.06, 'e': 0.4214728147759185}",20,12,-10.02699794530481,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.06, 'e': 0.4189515492476399}",30,1,-15.561312607270295,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 0}",1
146,False,"{'a': 0.06, 'e': 0.416445366020381}",20,14,-1.1471026082716071,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.06, 'e': 0.413954174871275}",25,0,-66.42390703369134,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
148,False,"{'a': 0.06, 'e': 0.41147788611717145}",20,3,24.242276839021965,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.06, 'e': 0.4090164106114078}",20,11,12.183442253959223,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.06, 'e': 0.40656965974060005}",20,0,17.507320152122965,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.06, 'e': 0.40413754542145247}",25,13,-9.734159683290457,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
152,False,"{'a': 0.06, 'e': 0.40171998009758697}",30,7,-38.29003415792147,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
153,False,"{'a': 0.06, 'e': 0.39931687673639077}",25,5,-109.69706753844854,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",1
154,False,"{'a': 0.06, 'e': 0.39692814882588345}",20,0,-17.601264576640624,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
155,False,"{'a': 0.06, 'e': 0.3945537103716021}",25,0,-39.9251601168414,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
156,False,"{'a': 0.06, 'e': 0.39219347589350595}",20,0,5.853936669619466,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
157,False,"{'a': 0.06, 'e': 0.3898473604228989}",20,0,10.465427251566481,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
158,False,"{'a': 0.06, 'e': 0.3875152794993707}",20,0,-18.76394144173696,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
159,False,"{'a': 0.06, 'e': 0.38519714916775616}",20,6,-40.139911221272776,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 0}",1
160,False,"{'a': 0.06, 'e': 0.38289288597511295}",25,12,-32.815888217216084,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.06, 'e': 0.38060240696771735}",20,16,6.692372507483571,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.06, 'e': 0.37832562968807776}",20,2,-13.433491838298712,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
163,False,"{'a': 0.06, 'e': 0.37606247217196603}",20,11,8.941137021827348,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.06, 'e': 0.37381285294546734}",25,10,-31.67654085557511,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
165,False,"{'a': 0.06, 'e': 0.3715766910220465}",25,1,-21.333898428555763,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.06, 'e': 0.3693539058996328}",25,2,25.027672620914906,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
